member_id,sr_no,state_raw,mp_name_raw,constituency_raw,allocated_amount,allocated_amount_raw,state,mp_name,mp_name_clean,has_title_prefix,name_case_consistent,name_has_double_space,constituency,amount_missing,amount_has_paise,constituency_category,constituency_base,member_key
74,74,West Bengal,BAPI HALDAR,MATHURAPUR(SC),147000000.0,147000000,West Bengal,BAPI HALDAR,BAPI HALDAR,False,False,False,MATHURAPUR(SC),False,False,sc,MATHURAPUR,west bengal|bapi haldar|mathurapur(sc)
75,75,Karnataka,BASAVARAJ BOMMAI,HAVERI,147000000.0,147000000,Karnataka,BASAVARAJ BOMMAI,BASAVARAJ BOMMAI,False,False,False,HAVERI,False,False,general,HAVERI,karnataka|basavaraj bommai|haveri
76,76,Andhra Pradesh,BASTIPATI NAGARAJU PANCHALINGALA,KURNOOL,159998515.11,159998515.11,Andhra Pradesh,BASTIPATI NAGARAJU PANCHALINGALA,BASTIPATI NAGARAJU PANCHALINGALA,False,False,False,KURNOOL,False,True,general,KURNOOL,andhra pradesh|bastipati nagaraju panchalingala|kurnool
77,77,Rajasthan,Bhagirath Chaudhary,AJMER,147000000.0,147000000,Rajasthan,Bhagirath Chaudhary,Bhagirath Chaudhary,False,True,False,AJMER,False,False,general,AJMER,rajasthan|bhagirath chaudhary|ajmer
78,78,Rajasthan,BHAJAN LAL JATAV,KARAULI-DHOLPUR(SC),147000000.0,147000000,Rajasthan,BHAJAN LAL JATAV,BHAJAN LAL JATAV,False,False,False,KARAULI-DHOLPUR(SC),False,False,sc,KARAULI-DHOLPUR,rajasthan|bhajan lal jatav|karauli-dholpur(sc)
79,79,Madhya Pradesh,BHARAT SINGH KUSHWAH,GWALIOR,151455276.04,151455276.04,Madhya Pradesh,BHARAT SINGH KUSHWAH,BHARAT SINGH KUSHWAH,False,False,False,GWALIOR,False,True,general,GWALIOR,madhya pradesh|bharat singh kushwah|gwalior
80,80,Gujarat,BHARATBHAI MANUBHAI SUTARIYA,AMRELI,147000000.0,147000000,Gujarat,BHARATBHAI MANUBHAI SUTARIYA,BHARATBHAI MANUBHAI SUTARIYA,False,False,False,AMRELI,False,False,general,AMRELI,gujarat|bharatbhai manubhai sutariya|amreli
81,81,Gujarat,Bharatsinhji Shankarji Dabhi,PATAN,147000000.0,147000000,Gujarat,Bharatsinhji Shankarji Dabhi,Bharatsinhji Shankarji Dabhi,False,True,False,PATAN,False,False,general,PATAN,gujarat|bharatsinhji shankarji dabhi|patan
82,82,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,154398389.01,154398389.01,Madhya Pradesh,BHARTI PARDHI,BHARTI PARDHI,False,False,False,BALAGHAT,False,True,general,BALAGHAT,madhya pradesh|bharti pardhi|balaghat
83,83,Maharashtra,BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),147000000.0,147000000,Maharashtra,BHASKAR MURLIDHAR BHAGARE,BHASKAR MURLIDHAR BHAGARE,False,False,False,DINDORI(ST),False,False,st,DINDORI,maharashtra|bhaskar murlidhar bhagare|dindori(st)
84,84,Maharashtra,BHAUSAHEB RAJARAM WAKCHAURE,SHIRDI(SC),147000000.0,147000000,Maharashtra,BHAUSAHEB RAJARAM WAKCHAURE,BHAUSAHEB RAJARAM WAKCHAURE,False,False,False,SHIRDI(SC),False,False,sc,SHIRDI,maharashtra|bhausaheb rajaram wakchaure|shirdi(sc)
85,85,Chhattisgarh,BHOJRAJ NAG,KANKER(ST),164672734.11,164672734.11,Chhattisgarh,BHOJRAJ NAG,BHOJRAJ NAG,False,False,False,KANKER(ST),False,True,st,KANKER,chhattisgarh|bhojraj nag|kanker(st)
86,86,Uttar Pradesh,Bhola Singh,BULANDSHAHR(SC),147000000.0,147000000,Uttar Pradesh,Bhola Singh,Bhola Singh,False,True,False,BULANDSHAHR(SC),False,False,sc,BULANDSHAHR,uttar pradesh|bhola singh|bulandshahr(sc)
